sa3_name, dwelling, area_sqkm, state_name, sa3_code_2016, population
"Queanbeyan",24790,6511.1906,"New South Wales","10102",57325
"Snowy Mountains",11732,14283.4221,"New South Wales","10103",19369
"South Coast",41099,9864.86800000004,"New South Wales","10104",70636
"Goulburn - Mulwaree",16966,9099.9086,"New South Wales","10105",35557
"Young - Yass",16084,12136.1738,"New South Wales","10106",35946
"Gosford",75995,988.426300000001,"New South Wales","10201",169115
"Wyong",68391,692.646100000001,"New South Wales","10202",158622
"Bathurst",19934,6984.18299999999,"New South Wales","10301",46475
"Lachlan Valley",26220,41000.7206,"New South Wales","10302",55380
"Lithgow - Mudgee",21945,16044.6246,"New South Wales","10303",46653
"Orange",24731,6267.5322,"New South Wales","10304",57656
"Clarence Valley",24649,9263.1939,"New South Wales","10401",50265
"Coffs Harbour",38765,3966.5639,"New South Wales","10402",85981
"Bourke - Cobar - Coonamble",12775,162765.126,"New South Wales","10501",24126
"Broken Hill and Far West",11099,146860.1758,"New South Wales","10502",20174
"Dubbo",30421,29738.3907000001,"New South Wales","10503",69412
"Lower Hunter",36058,8566.7809,"New South Wales","10601",87676
"Maitland",29338,380.1168,"New South Wales","10602",74132
"Port Stephens",35415,1071.9768,"New South Wales","10603",71437
"Upper Hunter",13890,11472.417,"New South Wales","10604",30138
"Dapto - Port Kembla",29804,163.6962,"New South Wales","10701",75422
"Illawarra Catchment Reserve",5,744.3423,"New South Wales","10702",8
"Kiama - Shellharbour",36293,390.7983,"New South Wales","10703",89775
"Wollongong",54245,240.0822,"New South Wales","10704",128358
"Great Lakes",18154,3133.0446,"New South Wales","10801",31319
"Kempsey - Nambucca",23116,5339.32489999999,"New South Wales","10802",48100
"Lord Howe Island",221,16.2918,"New South Wales","10803",381
"Port Macquarie",36766,3687.77,"New South Wales","10804",78723
"Taree - Gloucester",25366,6675.0682,"New South Wales","10805",53864
"Albury",27935,5597.48489999999,"New South Wales","10901",61301
"Lower Murray",6395,63968.2369,"New South Wales","10902",12563
"Upper Murray exc. Albury",21221,28231.9536,"New South Wales","10903",41890
"Armidale",16372,16395.6492,"New South Wales","11001",37056
"Inverell - Tenterfield",18468,30568.6383,"New South Wales","11002",38428
"Moree - Narrabri",11870,32026.5412,"New South Wales","11003",25616
"Tamworth - Gunnedah",35854,20155.0876,"New South Wales","11004",80474
"Lake Macquarie - East",50446,138.0858,"New South Wales","11101",119909
"Lake Macquarie - West",31305,507.6329,"New South Wales","11102",75163
"Newcastle",72495,224.8933,"New South Wales","11103",163773
"Richmond Valley - Coastal",37446,1572.8877,"New South Wales","11201",78238
"Richmond Valley - Hinterland",31219,7390.59860000001,"New South Wales","11202",70062
"Tweed Valley",42669,1307.6562,"New South Wales","11203",91407
"Griffith - Murrumbidgee (West)",20522,28859.6885,"New South Wales","11301",48178
"Tumut - Tumbarumba",6922,9174.7645,"New South Wales","11302",14469
"Wagga Wagga",39735,18950.5659,"New South Wales","11303",93302
"Shoalhaven",54355,4374.4257,"New South Wales","11401",99437
"Southern Highlands",21620,2330.0144,"New South Wales","11402",47964
"Baulkham Hills",48030,72.0257,"New South Wales","11501",143627
"Dural - Wisemans Ferry",8861,569.2386,"New South Wales","11502",26191
"Hawkesbury",8864,2492.0101,"New South Wales","11503",24635
"Rouse Hill - McGraths Hill",10463,118.2241,"New South Wales","11504",33169
"Blacktown",46800,56.3066,"New South Wales","11601",134600
"Blacktown - North",29046,103.0669,"New South Wales","11602",92774
"Mount Druitt",35829,82.7116,"New South Wales","11603",112047
"Botany",18697,27.7978,"New South Wales","11701",46677
"Sydney Inner City",112753,25.0641000000001,"New South Wales","11703",214294
"Eastern Suburbs - South",58686,31.5481,"New South Wales","11802",140698
"Bankstown",58643,68.6674,"New South Wales","11901",171248
"Canterbury",47595,29.9646,"New South Wales","11902",135089
"Hurstville",46930,33.9553,"New South Wales","11903",127157
"Kogarah - Rockdale",53982,31.3478999999999,"New South Wales","11904",137606
"Canada Bay",35771,19.7471,"New South Wales","12001",85289
"Leichhardt",25482,10.6577,"New South Wales","12002",56044
"Strathfield - Burwood - Ashfield",59548,34.1433,"New South Wales","12003",151653
"Chatswood - Lane Cove",46794,33.1739,"New South Wales","12101",112176
"Hornsby",30127,137.3989,"New South Wales","12102",80589
"Ku-ring-gai",42670,85.5465999999998,"New South Wales","12103",118348
"North Sydney - Mosman",48781,18.9756,"New South Wales","12104",94149
"Manly",18790,14.3455,"New South Wales","12201",41937
"Pittwater",24638,90.6495,"New South Wales","12202",60451
"Warringah",58077,149.2124,"New South Wales","12203",150668
"Camden",21052,73.8688000000001,"New South Wales","12301",62589
"Nerang",25312,123.1533,"Queensland","30906",67221
"Marrickville - Sydenham - Petersham",23963,12.6699,"New South Wales","11702",54593
"Eastern Suburbs - North",60483,26.1849,"New South Wales","11801",126297
"Campbelltown (NSW)",55665,334.2221,"New South Wales","12302",158265
"Wollondilly",14380,870.360400000001,"New South Wales","12303",41129
"Blue Mountains",34012,942.4079,"New South Wales","12401",76755
"Blue Mountains - South",20,2456.9093,"New South Wales","12402",0
"Penrith",51591,356.8585,"New South Wales","12403",139662
"Richmond - Windsor",13610,178.8387,"New South Wales","12404",36494
"St Marys",19329,33.1146,"New South Wales","12405",54009
"Auburn",29767,33.0601,"New South Wales","12501",89743
"Carlingford",24128,25.6874,"New South Wales","12502",66541
"Merrylands - Guildford",50942,55.7969,"New South Wales","12503",151177
"Parramatta",53815,47.0914000000001,"New South Wales","12504",140945
"Pennant Hills - Epping",16968,22.1743,"New South Wales","12601",47652
"Ryde - Hunters Hill",52965,47.1626,"New South Wales","12602",134434
"Bringelly - Green Valley",31369,291.4688,"New South Wales","12701",102779
"Fairfield",58256,123.7701,"New South Wales","12702",185747
"Liverpool",39634,123.8297,"New South Wales","12703",117302
"Cronulla - Miranda - Caringbah",45296,55.6181,"New South Wales","12801",109748
"Sutherland - Menai - Heathcote",38934,240.2471,"New South Wales","12802",108025
"Ballarat",45802,448.348700000001,"Victoria","20101",103836
"Creswick - Daylesford - Ballan",14363,3666.673,"Victoria","20102",28269
"Maryborough - Pyrenees",12502,6172.45420000001,"Victoria","20103",25292
"Bendigo",41934,287.4438,"Victoria","20201",94323
"Heathcote - Castlemaine - Kyneton",21968,3920.9382,"Victoria","20202",47306
"Loddon - Elmore",5810,7633.5242,"Victoria","20203",11471
"Barwon - West",7402,2579.8385,"Victoria","20301",19001
"Geelong",81275,918.891699999999,"Victoria","20302",188187
"Surf Coast - Bellarine Peninsula",43243,929.969100000001,"Victoria","20303",71869
"Upper Goulburn Valley",28639,13959.3182,"Victoria","20401",53831
"Wangaratta - Benalla",21749,6545.08569999999,"Victoria","20402",46126
"Wodonga - Alpine",32720,13501.1315,"Victoria","20403",70367
"Baw Baw",20919,3933.8416,"Victoria","20501",48569
"Gippsland - East",24287,21713.8498,"Victoria","20502",45075
"Gippsland - South West",41794,4381.6191,"Victoria","20503",61602
"Latrobe Valley",34038,1479.6674,"Victoria","20504",73048
"Wellington",22139,10044.7738,"Victoria","20505",42848
"Brunswick - Coburg",39419,20.4133,"Victoria","20601",86140
"Darebin - South",23491,14.0275,"Victoria","20602",52082
"Essendon",29926,18.215,"Victoria","20603",66566
"Melbourne City",75714,31.4622,"Victoria","20604",136009
"Port Phillip",57849,25.6958,"Victoria","20605",100738
"Sunbury",15252,260.6847,"Victoria","21004",39338
"Tullamarine - Broadmeadows",53114,294.0954,"Victoria","21005",160274
"Knox",59190,118.3019,"Victoria","21101",154086
"Manningham - East",9196,66.5619,"Victoria","21102",25942
"Maroondah",44429,61.1871999999998,"Victoria","21103",110065
"Whitehorse - East",24224,26.5696,"Victoria","21104",60827
"Yarra Ranges",58555,1605.937,"Victoria","21105",148770
"Cardinia",35019,1282.327,"Victoria","21201",94293
"Casey - North",46214,116.503,"Victoria","21202",131183
"Casey - South",55752,292.9259,"Victoria","21203",168023
"Dandenong",67881,151.0513,"Victoria","21204",186612
"Monash",67397,79.4732999999999,"Victoria","21205",175161
"Brimbank",65906,106.8497,"Victoria","21301",185573
"Hobsons Bay",35253,62.2158000000001,"Victoria","21302",83944
"Maribyrnong",35716,31.2254,"Victoria","21303",82158
"Melton - Bacchus Marsh",53771,671.943600000001,"Victoria","21304",153431
"Wyndham",77298,544.1195,"Victoria","21305",221764
"Frankston",56846,129.598,"Victoria","21401",134228
"Mornington Peninsula",89084,724.167900000002,"Victoria","21402",154952
"Grampians",29403,38139.2062,"Victoria","21501",58710
"Mildura",24095,22082.4836,"Victoria","21502",53930
"Murray River - Swan Hill",17658,17851.0467,"Victoria","21503",37291
"Campaspe",16883,4554.56869999999,"Victoria","21601",37220
"Moira",13786,4046.3738,"Victoria","21602",29132
"Shepparton",26902,2333.1626,"Victoria","21603",63605
"Glenelg - Southern Grampians",17883,12946.1764,"Victoria","21701",35571
"Colac - Corangamite",19413,7936.55480000001,"Victoria","21703",36953
"Warrnambool",23074,5496.1773,"Victoria","21704",50041
"Capalaba",27117,89.2958999999999,"Queensland","30101",71626
"Cleveland - Stradbroke",35262,480.9783,"Queensland","30102",82780
